Disease,AUROC,PR-AUC,Precision,Recall,F1,Positive_Count
Atelectasis,0.583324472798157,0.11117103441801579,0.09268292682926829,0.5757575757575758,0.15966386554621848,66
Cardiomegaly,0.5497258948726217,0.05498802196805572,0.043037974683544304,0.4857142857142857,0.07906976744186046,35
Effusion,0.5986130811662725,0.10121514461031902,0.09944751381215469,0.48,0.16475972540045766,75
Infiltration,0.6399930867611476,0.21903371797962895,0.21580547112462006,0.5378787878787878,0.3080260303687636,132
Mass,0.6411960132890366,0.06542127029426795,0.024096385542168676,0.7777777777777778,0.04674457429048414,18
Nodule,0.45332963374028856,0.01986662650050458,0.018518518518518517,0.55,0.035830618892508145,20
Pneumonia,0.6004767143381005,0.018593114713519734,0.01834862385321101,0.5,0.035398230088495575,12
Pneumothorax,0.39714083384969456,0.04439113605258119,0.03138075313807531,0.28846153846153844,0.05660377358490566,52
Consolidation,0.675544086859146,0.083756003081148,0.07862407862407862,0.6808510638297872,0.14096916299559473,47
Edema,0.8846782988004362,0.030928672776498863,0.011494252873563218,0.75,0.022641509433962263,4
Emphysema,0.5089732142857143,0.038287906867963614,0.026634382566585957,0.88,0.05170387779083431,25
Fibrosis,0.5627432517263026,0.07235660580094536,0.044733044733044736,0.8611111111111112,0.0850480109739369,36
Pleural_Thickening,0.5191071428571429,0.05775472329133426,0.0297029702970297,0.24,0.05286343612334802,25
Hernia,0.8404983570646222,0.17443661830368515,0.012759170653907496,1.0,0.025196850393700787,8
