Disease,AUROC,PR-AUC,Precision,Recall,F1,Positive_Count
Atelectasis,0.7703703703703704,0.1964664952899835,0.21739130434782608,0.45454545454545453,0.29411764705882354,66
Cardiomegaly,0.8315059658174783,0.2178686500352367,0.20224719101123595,0.5142857142857142,0.2903225806451613,35
Effusion,0.8281796690307329,0.4305134987574732,0.3391304347826087,0.52,0.4105263157894737,75
Infiltration,0.6931098052771056,0.31000990862323186,0.3107344632768362,0.4166666666666667,0.3559870550161812,132
Mass,0.5254706533776301,0.03197101922829538,0.09523809523809523,0.1111111111111111,0.10256410256410256,18
Nodule,0.7029411764705882,0.07352189237129275,0.0410958904109589,0.6,0.07692307692307693,20
Pneumonia,0.5303447011367803,0.01658231430204017,0.017543859649122806,0.08333333333333333,0.028985507246376812,12
Pneumothorax,0.771709303354873,0.13579700474481107,0.15151515151515152,0.4807692307692308,0.2304147465437788,52
Consolidation,0.8142801499586153,0.17617628198447777,0.15950920245398773,0.5531914893617021,0.24761904761904763,47
Edema,0.8803162486368593,0.10978023478023478,0.06382978723404255,0.75,0.11764705882352941,4
Emphysema,0.6915178571428572,0.05254929873823749,0.043478260869565216,0.12,0.06382978723404255,25
Fibrosis,0.6868173258003766,0.13353930104308215,0.07975460122699386,0.3611111111111111,0.1306532663316583,36
Pleural_Thickening,0.674419642857143,0.06940681579222398,0.062111801242236024,0.4,0.10752688172043011,25
Hernia,0.690854326396495,0.017366207878581716,0.0,0.0,0.0,8
