Disease,AUROC,PR-AUC,Precision,Recall,F1,Positive_Count
Atelectasis,0.5581428318270424,0.09521836376952741,0.10483870967741936,0.3939393939393939,0.16560509554140126,66
Cardiomegaly,0.47226701064172844,0.054492317797225374,0.029411764705882353,0.17142857142857143,0.0502092050209205,35
Effusion,0.6919779353821907,0.15018632622671724,0.16203703703703703,0.4666666666666667,0.24054982817869416,75
Infiltration,0.6735414986365557,0.27134015751285284,0.28448275862068967,0.5,0.3626373626373626,132
Mass,0.5706287683031869,0.082987765263452,0.01868131868131868,0.9444444444444444,0.036637931034482756,18
Nodule,0.5058823529411764,0.027687220232333866,0.02359882005899705,0.4,0.04456824512534819,20
Pneumonia,0.6098276494316098,0.03713344296928449,0.01020408163265306,0.16666666666666666,0.019230769230769232,12
Pneumothorax,0.5469814995131451,0.060063218216365455,0.05172413793103448,0.23076923076923078,0.08450704225352113,52
Consolidation,0.7670772676371782,0.164301356437848,0.13004484304932734,0.6170212765957447,0.21481481481481482,47
Edema,0.9618320610687022,0.1349206349206349,0.023668639053254437,1.0,0.046242774566473986,4
Emphysema,0.5891071428571428,0.038224722539933226,0.03418803418803419,0.48,0.06382978723404255,25
Fibrosis,0.49428750784682984,0.03992293115136194,0.04054054054054054,0.5833333333333334,0.07581227436823104,36
Pleural_Thickening,0.4564732142857143,0.04140423780593279,0.02345679012345679,0.76,0.045508982035928146,25
Hernia,0.583105147864184,0.0112837499675753,0.011337868480725623,0.625,0.022271714922048998,8
